table	column	final_disposition	owner	responsibility	source_type	source_not_null	source_default	source_pk	production_nulls_rows	staging_nulls_rows	production_storage_types	target_declaration	source_checks	target_checks	source_foreign_keys	target_foreign_keys	source_indexes	target_index_declarations	column_consumer_evidence	canonical_readers_writers	retention	transfer
account	scope	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	0		0	3/19	0/0	null:3,text:16	scope: text(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	password	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	0		0	16/19	0/0	null:16,text:3	password: text(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	createdAt	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	INTEGER	1	unixepoch()	0	0/19	0/0	integer:19	createdAt: integer({ mode: "timestamp" }).default(sql`(unixepoch())`).notNull(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	updatedAt	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	INTEGER	1	unixepoch()	0	0/19	0/0	integer:19	updatedAt: integer({ mode: "timestamp" }).default(sql`(unixepoch())`).notNull(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
availability_overrides	id	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1		1	0/0	0/0		id: text().primaryKey(),					sqlite_autoindex_availability_overrides_1 UNIQUE(id)	id: text().primaryKey(),	server/utils/availability.ts:15; server/utils/availability.ts:43; server/utils/availability.ts:48; server/utils/availability.ts:89; server/utils/availability.ts:123; server/utils/availability.ts:125; server/utils/availability.ts:128; server/utils/availability.ts:130; server/utils/availability.ts:136; server/utils/availability.ts:138; server/utils/availability.ts:139; server/utils/availability.ts:154; server/utils/availability.ts:164; server/utils/availability.ts:190; server/utils/availability.ts:198; server/utils/availability.ts:199; server/utils/availability.ts:227; server/utils/availability.ts:247; server/utils/availability.ts:251; server/utils/availability.ts:263; server/utils/availability.ts:279; server/utils/availability.ts:298; server/utils/availability.ts:308; server/utils/availability.ts:311	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	organization_id	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1		0	0/0	0/0		organization_id: text().notNull().references(() => organization.id, { onDelete: "cascade" } ),			experiences.organization_id ON DELETE CASCADE; business_locations.organization_id ON DELETE CASCADE; organization.id ON DELETE CASCADE	group 0 organization_id -> experiences.organization_id ON DELETE CASCADE; group 1 organization_id -> business_locations.organization_id ON DELETE CASCADE; group 3 organization_id -> organization.id ON DELETE CASCADE			shared/site-transfer-policy.ts:2; server/utils/availability.ts:16; server/utils/availability.ts:125; server/utils/availability.ts:130; server/utils/availability.ts:190; server/utils/availability.ts:193; server/utils/availability.ts:247; server/utils/availability.ts:292; server/utils/availability.ts:308; server/utils/availability.ts:313; server/utils/availability.ts:316; server/utils/availability.ts:317; server/utils/availability.ts:404; server/utils/availability.ts:406; server/utils/availability.ts:417	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	site_id	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1		0	0/0	0/0		site_id: text().notNull().references(() => sites.id, { onDelete: "cascade" } ),			experiences.site_id ON DELETE CASCADE; business_locations.site_id ON DELETE CASCADE; sites.id ON DELETE CASCADE	group 0 site_id -> experiences.site_id ON DELETE CASCADE; group 1 site_id -> business_locations.site_id ON DELETE CASCADE; group 2 site_id -> sites.id ON DELETE CASCADE	availability_overrides_site_month_idx(site_id,override_date)	index("availability_overrides_site_month_idx").on(table.site_id, table.override_date),	shared/site-transfer-policy.ts:3; server/utils/availability.ts:17; server/utils/availability.ts:125; server/utils/availability.ts:130; server/utils/availability.ts:155; server/utils/availability.ts:190; server/utils/availability.ts:247; server/utils/availability.ts:272; server/utils/availability.ts:292; server/utils/availability.ts:308; server/utils/availability.ts:311; server/utils/availability.ts:313; server/utils/availability.ts:316; server/utils/availability.ts:317; server/utils/availability.ts:318; server/utils/availability.ts:344; server/utils/availability.ts:349; server/utils/availability.ts:353; server/utils/availability.ts:404; server/utils/availability.ts:405; server/utils/availability.ts:406; server/utils/availability.ts:413; server/utils/availability.ts:417; server/utils/availability.ts:421	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	owner_type	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1		0	0/0	0/0		owner_type: text({ enum: ["location", "experience"] }).notNull(),		CONSTRAINT "availability_overrides_owner_check" CHECK(   (owner_type = 'location' AND location_id IS NOT NULL AND experience_id IS NULL)   OR (owner_type = 'experience' AND location_id IS NULL AND experience_id IS NOT NULL)  )					server/utils/availability.ts:18; server/utils/availability.ts:138; server/utils/availability.ts:139; server/utils/availability.ts:240; server/utils/availability.ts:241; server/utils/availability.ts:247; server/utils/availability.ts:292; server/utils/availability.ts:298; server/utils/availability.ts:308; server/utils/availability.ts:333; server/utils/availability.ts:342; server/utils/availability.ts:345; server/utils/availability.ts:357; server/utils/availability.ts:377; server/utils/availability.ts:380; server/utils/availability.ts:392; server/utils/availability.ts:400; server/utils/availability.ts:405; server/utils/availability.ts:417	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	location_id	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	0		0	0/0	0/0		location_id: text(),		CONSTRAINT "availability_overrides_owner_check" CHECK(   (owner_type = 'location' AND location_id IS NOT NULL AND experience_id IS NULL)   OR (owner_type = 'experience' AND location_id IS NULL AND experience_id IS NOT NULL)  )	business_locations.id ON DELETE CASCADE	group 1 location_id -> business_locations.id ON DELETE CASCADE	availability_overrides_location_slot_unique UNIQUE PARTIAL(location_id,override_date,time_slot)		server/utils/availability.ts:19; server/utils/availability.ts:64; server/utils/availability.ts:90; server/utils/availability.ts:123; server/utils/availability.ts:128; server/utils/availability.ts:138; server/utils/availability.ts:190; server/utils/availability.ts:193; server/utils/availability.ts:195; server/utils/availability.ts:240; server/utils/availability.ts:247; server/utils/availability.ts:293; server/utils/availability.ts:308; server/utils/availability.ts:313; server/utils/availability.ts:317; server/utils/availability.ts:342; server/utils/availability.ts:345; server/utils/availability.ts:347; server/utils/availability.ts:349; server/utils/availability.ts:404; server/utils/availability.ts:405; server/utils/availability.ts:413; server/utils/availability.ts:417	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	experience_id	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	0		0	0/0	0/0		experience_id: text(),		CONSTRAINT "availability_overrides_owner_check" CHECK(   (owner_type = 'location' AND location_id IS NOT NULL AND experience_id IS NULL)   OR (owner_type = 'experience' AND location_id IS NULL AND experience_id IS NOT NULL)  )	experiences.id ON DELETE CASCADE	group 0 experience_id -> experiences.id ON DELETE CASCADE	availability_overrides_experience_slot_unique UNIQUE PARTIAL(experience_id,override_date,time_slot)		server/utils/availability.ts:20; server/utils/availability.ts:139; server/utils/availability.ts:241; server/utils/availability.ts:247; server/utils/availability.ts:342; server/utils/availability.ts:345; server/utils/availability.ts:352; server/utils/availability.ts:353; server/utils/availability.ts:405; server/utils/availability.ts:413	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	override_date	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1		0	0/0	0/0		override_date: text().notNull(),					availability_overrides_site_month_idx(site_id,override_date); availability_overrides_experience_slot_unique UNIQUE PARTIAL(experience_id,override_date,time_slot); availability_overrides_location_slot_unique UNIQUE PARTIAL(location_id,override_date,time_slot)	index("availability_overrides_site_month_idx").on(table.site_id, table.override_date),	server/utils/availability.ts:21; server/utils/availability.ts:76; server/utils/availability.ts:98; server/utils/availability.ts:157; server/utils/availability.ts:161; server/utils/availability.ts:164; server/utils/availability.ts:219; server/utils/availability.ts:228; server/utils/availability.ts:235; server/utils/availability.ts:240; server/utils/availability.ts:241; server/utils/availability.ts:248; server/utils/availability.ts:252; server/utils/availability.ts:275; server/utils/availability.ts:284; server/utils/availability.ts:343; server/utils/availability.ts:344; server/utils/availability.ts:405	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	time_slot	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1		0	0/0	0/0		time_slot: text().notNull(),					availability_overrides_experience_slot_unique UNIQUE PARTIAL(experience_id,override_date,time_slot); availability_overrides_location_slot_unique UNIQUE PARTIAL(location_id,override_date,time_slot)		server/utils/availability.ts:22; server/utils/availability.ts:32; server/utils/availability.ts:49; server/utils/availability.ts:77; server/utils/availability.ts:99; server/utils/availability.ts:100; server/utils/availability.ts:164; server/utils/availability.ts:197; server/utils/availability.ts:199; server/utils/availability.ts:219; server/utils/availability.ts:229; server/utils/availability.ts:236; server/utils/availability.ts:240; server/utils/availability.ts:241; server/utils/availability.ts:248; server/utils/availability.ts:252; server/utils/availability.ts:276; server/utils/availability.ts:299; server/utils/availability.ts:343; server/utils/availability.ts:352; server/utils/availability.ts:379; server/utils/availability.ts:382; server/utils/availability.ts:383; server/utils/availability.ts:384	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	status	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1	'closed'	0	0/0	0/0		status: text({ enum: ["open", "closed"] }).default("closed").notNull(),	 CONSTRAINT "availability_overrides_status_check" CHECK(status IN ('open', 'closed')),	CONSTRAINT "availability_overrides_status_check" CHECK(status IN ('open', 'closed'))					server/utils/availability.ts:23; server/utils/availability.ts:43; server/utils/availability.ts:52; server/utils/availability.ts:82; server/utils/availability.ts:103; server/utils/availability.ts:104; server/utils/availability.ts:198; server/utils/availability.ts:199; server/utils/availability.ts:230; server/utils/availability.ts:248; server/utils/availability.ts:253; server/utils/availability.ts:257; server/utils/availability.ts:299; server/utils/availability.ts:310; server/utils/availability.ts:315; server/utils/availability.ts:343; server/utils/availability.ts:347; server/utils/availability.ts:350; server/utils/availability.ts:352; server/utils/availability.ts:354; server/utils/availability.ts:382; server/utils/availability.ts:386; server/utils/availability.ts:407; server/utils/availability.ts:409	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	capacity_override	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	INTEGER	0		0	0/0	0/0		capacity_override: integer(),	 CONSTRAINT "availability_overrides_capacity_check" CHECK(capacity_override IS NULL OR capacity_override >= 0)	CONSTRAINT "availability_overrides_capacity_check" CHECK(capacity_override IS NULL OR capacity_override >= 0)					server/utils/availability.ts:24; server/utils/availability.ts:43; server/utils/availability.ts:83; server/utils/availability.ts:106; server/utils/availability.ts:108; server/utils/availability.ts:198; server/utils/availability.ts:231; server/utils/availability.ts:248; server/utils/availability.ts:253; server/utils/availability.ts:258; server/utils/availability.ts:299; server/utils/availability.ts:343; server/utils/availability.ts:387; server/utils/availability.ts:409; server/utils/availability.ts:410; server/utils/availability.ts:416; server/utils/availability.ts:420	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	note	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	0		0	0/0	0/0		note: text(),							server/utils/availability.ts:25; server/utils/availability.ts:43; server/utils/availability.ts:84; server/utils/availability.ts:110; server/utils/availability.ts:111; server/utils/availability.ts:198; server/utils/availability.ts:232; server/utils/availability.ts:248; server/utils/availability.ts:254; server/utils/availability.ts:259; server/utils/availability.ts:300; server/utils/availability.ts:343	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	created_at	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1	strftime('%Y-%m-%dT%H:%M:%fZ', 'now')	0	0/0	0/0		created_at: text().default(sql`(strftime('%Y-%m-%dT%H:%M:%fZ', 'now'))`).notNull(),							server/utils/availability.ts:26; server/utils/availability.ts:248	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	updated_at	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	1	strftime('%Y-%m-%dT%H:%M:%fZ', 'now')	0	0/0	0/0		updated_at: text().default(sql`(strftime('%Y-%m-%dT%H:%M:%fZ', 'now'))`).notNull(),							server/utils/availability.ts:27; server/utils/availability.ts:43; server/utils/availability.ts:198; server/utils/availability.ts:248; server/utils/availability.ts:260; server/utils/availability.ts:300; server/utils/availability.ts:343; server/utils/availability.ts:347; server/utils/availability.ts:352; server/utils/availability.ts:409; server/utils/availability.ts:420	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
availability_overrides	created_by	retain exact typed value	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	TEXT	0		0	0/0	0/0		created_by: text(),							server/utils/availability.ts:28; server/utils/availability.ts:248	availability.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
blog_posts	id	retain exact typed value	Publishing	Article metadata/publication; rich body belongs to content_documents	TEXT	1		1	0/26	0/22	text:26	id: text().primaryKey(),					sqlite_autoindex_blog_posts_1 UNIQUE(id)	id: text().primaryKey(),	seed-definitions/pottery-house.ts:49; seed-definitions/pottery-house.ts:56; seed-definitions/pottery-house.ts:65; seed-definitions/pottery-house.ts:73; seed-definitions/pottery-house.ts:81; seed-definitions/pottery-house.ts:91; seed-definitions/pottery-house.ts:145; seed-definitions/pottery-house.ts:195; seed-definitions/pottery-house.ts:207; seed-definitions/pottery-house.ts:219; seed-definitions/pottery-house.ts:231; seed-definitions/pottery-house.ts:243; seed-definitions/pottery-house.ts:255; seed-definitions/pottery-house.ts:267; seed-definitions/pottery-house.ts:279; seed-definitions/pottery-house.ts:292; seed-definitions/pottery-house.ts:304; seed-definitions/pottery-house.ts:316; seed-definitions/pottery-house.ts:328; seed-definitions/pottery-house.ts:340; seed-definitions/pottery-house.ts:352; seed-definitions/pottery-house.ts:364; seed-definitions/pottery-house.ts:376; seed-definitions/pottery-house.ts:388	platform-content.ts; blog-publishing.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
blog_posts	organization_id	retain exact typed value	Publishing	Article metadata/publication; rich body belongs to content_documents	TEXT	1		0	0/26	0/22	text:26	organization_id: text().notNull().references(() => organization.id, { onDelete: "cascade" } ),			organization.id ON DELETE CASCADE	group 0 organization_id -> sites.organization_id ON DELETE CASCADE; group 3 organization_id -> organization.id ON DELETE CASCADE	blog_posts_org_site_idx(organization_id,site_id)	index("blog_posts_org_site_idx").on(table.organization_id, table.site_id),	seed-definitions/pottery-house.ts:899; seed-definitions/pottery-house.ts:920; seed-definitions/pottery-house.ts:925; seed-definitions/pottery-house.ts:929; seed-definitions/pottery-house.ts:998; seed-definitions/pottery-house.ts:1013; seed-definitions/pottery-house.ts:1021; seed-definitions/pottery-house.ts:1077; seed-definitions/pottery-house.ts:1094; seed-definitions/pottery-house.ts:1099; seed-definitions/pottery-house.ts:1106; seed-definitions/pottery-house.ts:1112; seed-definitions/pottery-house.ts:1146; seed-definitions/pottery-house.ts:1177; seed-definitions/pottery-house.ts:1211; seed-definitions/pottery-house.ts:1218; seed-definitions/pottery-house.ts:1246; seed-definitions/pottery-house.ts:1270; seed-definitions/ncls.ts:30; seed-definitions/ncls.ts:42; seed-definitions/ncls.ts:73; seed-definitions/ncls.ts:122; seed-definitions/ncls.ts:138; seed-definitions/ncls.ts:152	platform-content.ts; blog-publishing.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
blog_posts	site_id	retain exact typed value	Publishing	Article metadata/publication; rich body belongs to content_documents	TEXT	1		0	0/26	0/22	text:26	site_id: text().notNull().references(() => sites.id, { onDelete: "cascade" } ),			sites.id ON DELETE CASCADE	group 0 site_id -> sites.id ON DELETE CASCADE; group 2 site_id -> sites.id ON DELETE CASCADE	blog_posts_site_slug_unique UNIQUE(site_id,slug); blog_posts_org_site_idx(organization_id,site_id)	unique("blog_posts_site_slug_unique").on(table.site_id, table.slug),; index("blog_posts_org_site_idx").on(table.organization_id, table.site_id),	seed-definitions/pottery-house.ts:920; seed-definitions/pottery-house.ts:925; seed-definitions/pottery-house.ts:929; seed-definitions/pottery-house.ts:998; seed-definitions/pottery-house.ts:1013; seed-definitions/pottery-house.ts:1021; seed-definitions/pottery-house.ts:1077; seed-definitions/pottery-house.ts:1094; seed-definitions/pottery-house.ts:1099; seed-definitions/pottery-house.ts:1106; seed-definitions/pottery-house.ts:1112; seed-definitions/pottery-house.ts:1146; seed-definitions/pottery-house.ts:1177; seed-definitions/pottery-house.ts:1211; seed-definitions/pottery-house.ts:1218; seed-definitions/pottery-house.ts:1246; seed-definitions/pottery-house.ts:1270; seed-definitions/pottery-house.ts:1274; seed-definitions/ncls.ts:31; seed-definitions/ncls.ts:74; seed-definitions/ncls.ts:123; seed-definitions/ncls.ts:139; seed-definitions/ncls.ts:153; seed-definitions/ncls.ts:167	platform-content.ts; blog-publishing.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
blog_posts	title	retain exact typed value	Publishing	Article metadata/publication; rich body belongs to content_documents	TEXT	1		0	0/26	0/22	text:26	title: text().notNull(),							seed-definitions/pottery-house.ts:93; seed-definitions/pottery-house.ts:147; seed-definitions/pottery-house.ts:441; seed-definitions/pottery-house.ts:458; seed-definitions/pottery-house.ts:505; seed-definitions/pottery-house.ts:527; seed-definitions/pottery-house.ts:549; seed-definitions/pottery-house.ts:571; seed-definitions/pottery-house.ts:695; seed-definitions/pottery-house.ts:706; seed-definitions/pottery-house.ts:717; seed-definitions/pottery-house.ts:747; seed-definitions/pottery-house.ts:759; seed-definitions/pottery-house.ts:770; seed-definitions/pottery-house.ts:796; seed-definitions/pottery-house.ts:810; seed-definitions/pottery-house.ts:832; seed-definitions/pottery-house.ts:837; seed-definitions/pottery-house.ts:842; seed-definitions/pottery-house.ts:847; seed-definitions/pottery-house.ts:852; seed-definitions/pottery-house.ts:971; seed-definitions/pottery-house.ts:998; seed-definitions/pottery-house.ts:1043	platform-content.ts; blog-publishing.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
blog_posts	slug	retain exact typed value	Publishing	Article metadata/publication; rich body belongs to content_documents	TEXT	1		0	0/26	0/22	text:26	slug: text().notNull(),					blog_posts_site_slug_unique UNIQUE(site_id,slug)	unique("blog_posts_site_slug_unique").on(table.site_id, table.slug),	seed-definitions/pottery-house.ts:27; seed-definitions/pottery-house.ts:92; seed-definitions/pottery-house.ts:146; seed-definitions/pottery-house.ts:506; seed-definitions/pottery-house.ts:528; seed-definitions/pottery-house.ts:550; seed-definitions/pottery-house.ts:572; seed-definitions/pottery-house.ts:899; seed-definitions/pottery-house.ts:907; seed-definitions/pottery-house.ts:970; seed-definitions/pottery-house.ts:998; seed-definitions/pottery-house.ts:1035; seed-definitions/pottery-house.ts:1043; seed-definitions/pottery-house.ts:1094; seed-definitions/pottery-house.ts:1099; seed-definitions/pottery-house.ts:1246; seed-definitions/ncls.ts:44; seed-definitions/ncls.ts:75; seed-definitions/ncls.ts:4377; seed-definitions/ncls.ts:4404; seed-definitions/ncls.ts:4431; seed-definitions/ncls.ts:4458; seed-definitions/ncls.ts:4485; seed-definitions/ncls.ts:4512	platform-content.ts; blog-publishing.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
blog_posts	excerpt	retain exact typed value	Publishing	Article metadata/publication; rich body belongs to content_documents	TEXT	0		0	0/26	0/22	text:26	excerpt: text(),							seed-definitions/pottery-house.ts:1246; seed-definitions/ncls.ts:4895; seed-definitions/ncls.ts:4925; seed-definitions/ncls.ts:4955; seed-definitions/ncls.ts:4985; seed-definitions/ncls.ts:5015; seed-definitions/ncls.ts:5045; seed-definitions/ncls.ts:5075; seed-definitions/ncls.ts:5105; seed-definitions/ncls.ts:5135; seed-definitions/ncls.ts:5165; seed-definitions/ncls.ts:5195; seed-definitions/ncls.ts:5225; seed-definitions/ncls.ts:5255; seed-definitions/ncls.ts:5285; seed-definitions/ncls.ts:5315; seed-definitions/ncls.ts:5345; seed-definitions/ncls.ts:5375; seed-definitions/ncls.ts:5405; seed-definitions/ncls.ts:5435; seed-definitions/ncls.ts:5465; seed-definitions/demo.ts:1588; server/types/platform-content.ts:18; server/types/platform-content.ts:35	platform-content.ts; blog-publishing.ts	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable	Copy exact typed source value; typed logical hash parity required
