table	production_rows	staging_rows	source_columns	final_disposition	owner	responsibility	canonical_readers_writers	direct_sql_boundaries	target_checks	retention
content_blocks	679	577	9	retain domain table	Structured content	Ordered typed tree; parent in same document, no cycles	content-documents.ts	seed-definitions/tenant-pages.ts:115; seed-definitions/tenant-pages.ts:124; seed-definitions/tenant-pages.ts:125; seed-definitions/pottery-house.ts:1277; seed-definitions/demo.ts:1619; scripts/audit-orphaned-media-placements.mjs:40; scripts/epoch5-data.mjs:67; scripts/epoch5-data.mjs:69; scripts/epoch5-data.mjs:71; server/utils/blog-publishing.ts:42; server/utils/content-documents.ts:244; server/utils/content-documents.ts:304; server/utils/content-documents.ts:309; server/utils/content-documents.ts:314; server/utils/content-documents.ts:316; server/utils/content-documents.ts:447; server/utils/content-documents.ts:471; server/utils/content-documents.ts:485; server/utils/media-asset-manager.ts:131; server/api/sites/[siteId]/setup-progress.get.ts:108; server/utils/tenant-pages.ts:206; server/utils/localization.ts:775; server/utils/social-card.ts:92; server/utils/social-card.ts:203; server/utils/site-language-billing.ts:397; server/utils/platform-content.ts:392; server/utils/platform-content.ts:1152; server/utils/platform-content.ts:1398; server/utils/platform-content.ts:1708; server/utils/onboarding-checklist.ts:95; server/utils/public-search.ts:107; server/utils/public-search.ts:871; server/utils/public-page.ts:604; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:190; server/api/public/sites/[siteId]/conversion-events.post.ts:103	CONSTRAINT "content_blocks_type_check" CHECK("content_blocks"."type" IN ('heading', 'markdown', 'image', 'gallery', 'faq', 'how_to', 'divider', 'ai_assistance', 'cta', 'callout', 'hero', 'button_group', 'feature_grid', 'testimonial_grid', 'contact_cta', 'booking_cta', 'donation_choices', 'offering_grid', 'location_grid')); CONSTRAINT "content_blocks_data_json_check" CHECK(json_valid("content_blocks"."data_json") AND json_type("content_blocks"."data_json") IS 'object'); CONSTRAINT "content_blocks_parent_check" CHECK("content_blocks"."parent_block_id" IS NULL OR "content_blocks"."parent_block_id" <> "content_blocks"."id"); CONSTRAINT "content_blocks_position_check" CHECK("content_blocks"."position" >= 0); CONSTRAINT "content_blocks_level_check" CHECK("content_blocks"."level" IS NULL OR "content_blocks"."level" BETWEEN 1 AND 6)	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
content_documents	60	66	5	retain domain table	Structured content	Canonical rich owner token; add exact site FK from actual owner	content-documents.ts; localization.ts	seed-definitions/tenant-pages.ts:122; seed-definitions/pottery-house.ts:1273; seed-definitions/demo.ts:1615; scripts/audit-orphaned-media-placements.mjs:7; scripts/audit-orphaned-media-placements.mjs:12; scripts/audit-orphaned-media-placements.mjs:17; scripts/audit-orphaned-media-placements.mjs:23; scripts/epoch5-data.mjs:51; scripts/epoch5-data.mjs:64; scripts/epoch5-data.mjs:77; scripts/epoch5-data.mjs:80; scripts/epoch5-data.mjs:83; server/utils/blog-publishing.ts:11; server/utils/blog-publishing.ts:27; server/utils/blog-publishing.ts:47; server/utils/content-documents.ts:15; server/utils/content-documents.ts:20; server/utils/content-documents.ts:24; server/utils/content-documents.ts:30; server/utils/content-documents.ts:224; server/utils/content-documents.ts:235; server/utils/content-documents.ts:247; server/utils/content-documents.ts:327; server/utils/content-documents.ts:385; server/utils/tenant-pages.ts:699; server/utils/localization.ts:562; server/utils/localization.ts:775; server/utils/localization.ts:779; server/utils/social-card.ts:93; server/utils/social-card.ts:202; server/utils/site-language-billing.ts:400; server/utils/platform-content.ts:1106; server/utils/platform-content.ts:1156; server/utils/platform-content.ts:1181; server/utils/platform-content.ts:1399; server/utils/platform-content.ts:1405; server/utils/platform-content.ts:1709; server/utils/platform-content.ts:1715; server/utils/public-search.ts:106; server/utils/public-search.ts:870; server/utils/public-page.ts:603; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:191; server/api/public/sites/[siteId]/conversion-events.post.ts:103	CONSTRAINT "content_documents_owner_type_check" CHECK("content_documents"."owner_type" IN ('platform_blog', 'platform_doc', 'tenant_blog', 'tenant_page', 'resource_localization'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
customers	12	0	21	retain domain table	CRM identity	Tenant customer identity/contact/review preferences; distinct from Better Auth identity	customers.ts; review-requests.ts	server/utils/customers.ts:45; server/utils/customers.ts:109; server/utils/customers.ts:144; server/utils/customers.ts:210; server/utils/customers.ts:241; server/utils/customers.ts:282; server/utils/customers.ts:299; server/utils/customers.ts:307; server/utils/customers.ts:317; server/utils/customers.ts:321; server/tasks/review-request-automation.ts:151; server/tasks/review-request-automation.ts:165; server/utils/review-requests.ts:134; server/utils/review-requests.ts:169; server/utils/review-requests.ts:406; server/utils/review-requests.ts:418; server/api/public/review-requests/submit.post.ts:108; server/api/public/review-requests/submit.post.ts:161; server/api/public/review-requests/opt-out.post.ts:23; server/api/public/review-requests/bind-session.post.ts:51; server/api/editor/sites/[siteId]/customers/[customerId].get.ts:14	CONSTRAINT "customers_source_check" CHECK(source IN ('reservation', 'experience_booking', 'review_request', 'manual', 'stripe', 'import')); CONSTRAINT "customers_status_check" CHECK(status IN ('active', 'merged', 'suppressed', 'deleted'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
dashboard_preferences	2	0	6	remove obsolete table	Retired UI preference	No read/create consumer; obsolete selected-location preference	site-transfer.ts			Explicit obsolete-data discard with source row/field hashes; no replacement
domain_reconciliation_jobs	4	0	8	retain domain table	Domain lifecycle	One domain retry schedule independent of raw provider status	domains.ts	server/utils/domains.ts:425; server/utils/domains.ts:957; server/utils/domains.ts:1083; server/utils/domains.ts:1099; server/utils/domains.ts:1107; server/utils/domains.ts:1124	CONSTRAINT "domain_reconciliation_jobs_status_check" CHECK(status IN ('queued', 'running', 'succeeded', 'failed'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
experience_bookings	3	1	26	retain domain table	Guest booking	Experience/date/slot/party commitment and cancellation/review facts	experiences.ts; availability.ts; domain/guest-threads/booking-changes.ts	seed-definitions/demo.ts:1738; scripts/generate-demo-seed.ts:226; scripts/reset-e2e-artifacts.ts:255; scripts/reset-e2e-artifacts.ts:264; scripts/reset-e2e-artifacts.ts:265; server/utils/availability.ts:353; server/utils/dashboard-booking-details.ts:144; server/utils/customers.ts:285; server/utils/experiences.ts:638; server/utils/experiences.ts:647; server/utils/experiences.ts:695; server/utils/experiences.ts:705; server/utils/experiences.ts:741; server/utils/experiences.ts:777; server/utils/experiences.ts:807; server/utils/experiences.ts:812; server/utils/experiences.ts:818; server/utils/experiences.ts:873; server/utils/experiences.ts:891; server/domain/guest-threads/repository.ts:333; server/domain/guest-threads/repository.ts:456; server/domain/guest-threads/adapters/experience-booking.ts:62; server/tasks/review-request-automation.ts:113; server/tasks/review-request-automation.ts:164; server/api/whatsapp/webhook.post.ts:148; server/api/whatsapp/webhook.post.ts:180; server/utils/location-management.ts:864; server/utils/location-management.ts:892; server/utils/submission-messages.ts:108; server/utils/submission-messages.ts:141; server/utils/review-requests.ts:167; server/utils/review-requests.ts:231; server/api/editor/sites/[siteId]/experience-bookings/[bookingId].patch.ts:34; server/api/editor/sites/[siteId]/experience-bookings/[bookingId]/review-request.post.ts:15; server/api/editor/sites/[siteId]/experience-bookings/[bookingId]/complete.post.ts:26; server/api/editor/sites/[siteId]/customers/[customerId].get.ts:30; server/api/public/sites/[siteId]/experiences/bookings/[bookingId].get.ts:38; server/api/public/sites/[siteId]/experiences/bookings/[bookingId]/cancel.post.ts:54; server/api/public/sites/[siteId]/experiences/bookings/[bookingId]/cancel.post.ts:82	CONSTRAINT "experience_bookings_status_check" CHECK(status IN ('pending', 'confirmed', 'cancelled')); CONSTRAINT "experience_bookings_completion_source_check" CHECK(completion_source IS NULL OR completion_source IN ('manual', 'auto'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
experiences	12	8	16	retain domain table	Product subtype	Product-linked schedule/duration/capacity/instructions; retire flat schedule	experiences.ts; availability.ts	seed-definitions/pottery-house.ts:1105; seed-definitions/kikuzuki.ts:977; seed-definitions/demo.ts:1710; server/utils/availability.ts:129; server/utils/availability.ts:190; server/utils/availability.ts:316; server/utils/availability.ts:404; server/utils/dashboard-editor-resources.ts:250; server/utils/copy-paste.ts:546; server/utils/copy-paste.ts:569; server/utils/copy-paste.ts:571; server/utils/contact-assignment.ts:39; server/utils/experiences.ts:178; server/utils/experiences.ts:263; server/utils/experiences.ts:265; server/utils/experiences.ts:446; server/utils/experiences.ts:526; server/utils/experiences.ts:596; server/utils/experiences.ts:632; server/utils/experiences.ts:633; server/utils/experiences.ts:634; server/utils/experiences.ts:635; server/utils/experiences.ts:636; server/utils/experiences.ts:637; server/utils/experiences.ts:638; server/utils/experiences.ts:640; server/utils/experiences.ts:648; server/utils/experiences.ts:652; server/utils/experiences.ts:720; server/domain/guest-threads/adapters/contact.ts:49; server/tasks/review-request-automation.ts:114; server/utils/module-content-guard.ts:25; server/utils/location-management.ts:858; server/utils/social-card.ts:166; server/utils/onboarding-checklist.ts:90; server/utils/public-shell-query.ts:71; server/utils/public-page.ts:507; server/utils/public-page.ts:532; server/plugins/sitemap.ts:255; server/api/editor/sites/[siteId]/booking-policy.get.ts:28; server/api/editor/sites/[siteId]/booking-policy/preview.post.ts:29; server/api/editor/sites/[siteId]/booking-policy.patch.ts:31; server/api/editor/sites/[siteId]/experiences/[experienceId]/index.patch.ts:27; server/api/editor/sites/[siteId]/experiences/[experienceId]/index.delete.ts:13; server/api/editor/sites/[siteId]/experiences/[experienceId]/bookings.patch.ts:16; server/api/editor/sites/[siteId]/experiences/[experienceId]/bookings.get.ts:14	CONSTRAINT "experiences_included_items_check" CHECK(included_items IS NULL OR (json_valid(included_items) AND json_type(included_items) IS 'array')); CONSTRAINT "experiences_what_to_bring_check" CHECK(what_to_bring IS NULL OR (json_valid(what_to_bring) AND json_type(what_to_bring) IS 'array')); CONSTRAINT "experiences_recurring_slots_check" CHECK(recurring_slots IS NULL OR (json_valid(recurring_slots) AND json_type(recurring_slots) IS 'object'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
facebook_pages_connections	0	0	14	retain domain table	Meta integration	Encrypted credentials and selected provider page per site	facebook-pages.ts	server/utils/facebook-pages.ts:260; server/utils/facebook-pages.ts:305; server/tasks/instagram-sync-process.ts:70; server/tasks/instagram-sync-process.ts:126; server/api/internal/instagram-sync/process.post.ts:47	CONSTRAINT "facebook_pages_connections_status_check" CHECK(status IN ('active', 'disabled', 'error'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
google_analytics_connections	1	0	16	retain domain table	Google integration	Encrypted OAuth and selected GA4/Search Console properties	google-analytics.ts; zaraz-analytics.ts	server/utils/google-analytics.ts:164; server/utils/google-analytics.ts:206; server/utils/zaraz-analytics.ts:358; server/api/sites/[siteId]/integrations/google-analytics/select.post.ts:46; server/api/sites/[siteId]/integrations/google-analytics/disconnect.post.ts:16	CONSTRAINT "google_analytics_connections_status_check" CHECK(status IN ('active', 'disabled', 'error'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
guest_thread_deliveries	0	0	10	retain domain table	Guest delivery ledger	Per-entry provider/channel/purpose delivery outcomes	domain/guest-threads/deliveries.ts	scripts/canary-notifications.mjs:132; scripts/canary-notifications.mjs:157; scripts/canary-notifications.mjs:199; scripts/canary-notifications.mjs:270; server/domain/guest-threads/operations.ts:228; server/domain/guest-threads/operations.ts:460; server/domain/guest-threads/deliveries.ts:90; server/domain/guest-threads/deliveries.ts:117; server/domain/guest-threads/deliveries.ts:127; server/domain/guest-threads/deliveries.ts:146; server/domain/guest-threads/deliveries.ts:169; server/domain/guest-threads/deliveries.ts:231; server/api/whatsapp/webhook.post.ts:144; server/api/whatsapp/webhook.post.ts:176; server/api/whatsapp/webhook.post.ts:618; server/api/whatsapp/webhook.post.ts:633; server/api/whatsapp/webhook.post.ts:641; server/api/whatsapp/webhook.post.ts:654; server/api/dev/notifications.get.ts:39	CONSTRAINT "guest_thread_deliveries_channel_check" CHECK(channel IN ('email', 'whatsapp')); CONSTRAINT "guest_thread_deliveries_provider_check" CHECK((channel = 'email' AND provider IN ('resend', 'log_only')) OR (channel = 'whatsapp' AND provider IN ('meta', 'log_only'))); CONSTRAINT "guest_thread_deliveries_purpose_check" CHECK(purpose IN ('owner_alert', 'guest_acknowledgement', 'member_reply', 'status_update')); CONSTRAINT "guest_thread_deliveries_status_check" CHECK(status IN ('pending', 'accepted', 'sent', 'delivered', 'read', 'failed', 'unknown'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
